	n_regions
Topic1	5894
Topic2	5563
Topic3	5915
Topic4	6144
Topic5	6295
Topic6	5913
Topic7	6024
Topic8	6036
Topic9	6405
Topic10	6075
Topic11	5914
Topic12	6113
Topic13	5754
Topic14	5915
Topic15	5551
Topic16	6064
Topic17	6138
Topic18	6113
Topic19	6160
Topic20	6158
Topic21	5631
Topic22	5885
Topic23	6101
Topic24	6059
Topic25	6064
Topic26	5914
Topic27	5793
Topic28	5969
Topic29	6356
Topic30	5973
Topic31	6071
Topic32	6233
Topic33	6041
Topic34	5856
Topic35	5930
Topic36	6200
Topic37	6095
Topic38	6058
Topic39	6155
Topic40	6231
Topic41	6201
Topic42	6292
Topic43	6411
Topic44	7694
Topic45	8928
Topic46	6167
Topic47	5937
Topic48	5953
Topic49	5968
Topic50	6022
Topic51	6218
Topic52	6493
Topic53	5930
Topic54	6056
Topic55	6240
Topic56	5850
Topic57	5964
Topic58	6173
Topic59	6528
Topic60	6390
Topic61	5953
Topic62	6011
Topic63	6000
Topic64	5729
Topic65	5972
Topic66	6194
Topic67	6068
Topic68	6118
Topic69	5804
Topic70	5998
Topic71	6670
Topic72	6192
Topic73	6206
Topic74	6424
Topic75	6152
Topic76	5992
Topic77	5704
Topic78	6488
Topic79	6239
Topic80	6297
Topic81	6322
Topic82	6008
Topic83	5961
Topic84	6204
Topic85	5923
Topic86	5918
Topic87	6406
Topic88	5821
Topic89	6152
Topic90	5650
Topic91	6082
Topic92	6029
Topic93	6096
Topic94	5943
Topic95	6334
Topic96	6345
Topic97	6292
Topic98	5767
Topic99	5795
Topic100	5994
Topic101	5992
Topic102	6201
Topic103	5878
Topic104	6249
Topic105	5654
Topic106	6253
Topic107	5901
Topic108	6271
Topic109	5828
Topic110	6000
Topic111	6123
Topic112	5757
Topic113	6241
Topic114	6228
Topic115	5803
Topic116	6239
Topic117	5955
Topic118	6193
Topic119	5993
Topic120	6128
Topic121	5809
Topic122	6464
Topic123	5814
Topic124	5974
Topic125	5538
